Sample_ID,subspp,locality,loc_num,habitat,mass,kidney_mass,kidmass_corr,medulla,plasma_osmo,urine_osmo,UPratio,TEWL,min_H2O_osmo,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,may-june_tmax,may-june_tmin,may-june_prec
PMB_1916,brooksi,Upland,6,Fresh,16.6,0.104,0.00626506,18.57,325,176,0.54,5.921,0,11.81666667,8.966666667,56.39412998,269.0330609,20.2,4.3,15.9,9.25,14.9,15.23333333,8.8,1886,309,10,73.44751677,899,75,87,839,8.5,17.8,65
PMB_1917,brooksi,Upland,6,Fresh,15.9,0.1,0.006289308,12.32,NA,507,NA,5.374,0,11.81666667,8.966666667,56.39412998,269.0330609,20.2,4.3,15.9,9.25,14.9,15.23333333,8.8,1886,309,10,73.44751677,899,75,87,839,8.5,17.8,65
PMB_1918,brooksi,Upland,6,Fresh,16.1,0.124,0.007701863,NA,325,425,1.31,5.559,0,11.81666667,8.966666667,56.39412998,269.0330609,20.2,4.3,15.9,9.25,14.9,15.23333333,8.8,1886,309,10,73.44751677,899,75,87,839,8.5,17.8,65
PMB_1919,nevadensis,Upland,7,Fresh,16,0.114,0.007125,10.43,308,569,1.85,5.506,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1920,nevadensis,Upland,7,Fresh,15.9,0.106,0.006666667,19.44,367,696,1.9,5.305,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1921,nevadensis,Upland,7,Fresh,17.5,0.098,0.0056,8.82,NA,637,NA,NA,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1922,nevadensis,Upland,7,Fresh,16.6,0.128,0.007710843,13.42,317.3333333,202,0.64,4.298,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1923,nevadensis,Upland,7,Fresh,16.5,0.102,0.006181818,15.69,322.5,533,1.65,3.641,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1924,nevadensis,Upland,7,Fresh,16.8,0.088,0.005238095,12.33,320.6666667,NA,NA,3.936,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1925,nevadensis,Upland,7,Fresh,18.2,0.106,0.005824176,16.09,328,270,0.82,5.506,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1926,nevadensis,Upland,8,Fresh,16.6,0.102,0.006144578,19.11,318,604,1.9,2.207,NA,8.4875,16.19166667,48.91742195,636.1500859,26.8,-6.3,33.1,1.983333333,14.23333333,16.66666667,1.433333333,603,104,4,74.10278817,295,41,51,290,3.45,21.3,10.5
PMB_1927,nevadensis,Upland,8,Fresh,16.2,0.078,0.004814815,17.84,304,645,2.12,2.077,NA,8.4875,16.19166667,48.91742195,636.1500859,26.8,-6.3,33.1,1.983333333,14.23333333,16.66666667,1.433333333,603,104,4,74.10278817,295,41,51,290,3.45,21.3,10.5
PMB_1928,nevadensis,Upland,8,Fresh,16.9,0.102,0.006035503,NA,332.5,NA,NA,2.03,NA,8.4875,16.19166667,48.91742195,636.1500859,26.8,-6.3,33.1,1.983333333,14.23333333,16.66666667,1.433333333,603,104,4,74.10278817,295,41,51,290,3.45,21.3,10.5
PMB_1929,nevadensis,Upland,8,Fresh,15.9,0.076,0.004779874,30.54,320,743,2.32,2.06,NA,8.4875,16.19166667,48.91742195,636.1500859,26.8,-6.3,33.1,1.983333333,14.23333333,16.66666667,1.433333333,603,104,4,74.10278817,295,41,51,290,3.45,21.3,10.5
PMB_1761,anulus,PuertoViejo,10,Salt,18.7,0.143,0.007647059,NA,NA,NA,NA,6.937,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
PMB_1762,anulus,PuertoViejo,10,Salt,17.3,0.162,0.009364162,16.41,NA,NA,NA,5.497,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
PMB_1763,anulus,PuertoViejo,10,Salt,18.5,0.201,0.010864865,56.97,355.5,624.5,1.76,4.771,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
PMB_1764,anulus,PuertoViejo,10,Salt,22.4,0.138,0.006160714,40.23,NA,NA,NA,NA,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
PMB_1765,anulus,PuertoViejo,10,Salt,19,0.201,0.010578947,NA,NA,NA,NA,NA,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
PMB_1766,anulus,PuertoViejo,10,Salt,19.8,0.163,0.008232323,NA,359.7,514,1.43,6.879,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
PMB_1767,anulus,PuertoViejo,10,Salt,14.5,0.155,0.010689655,50.44,346,758,2.19,5.057,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
PMB_1768,anulus,PuertoViejo,10,Salt,17.1,0.192,0.01122807,46.16,375,424,1.13,3.961,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
PMB_1769,anulus,PuertoViejo,10,Salt,21.3,0.161,0.007558685,38.89,357.5,625,1.75,5.152,1049,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5
